1,Helix nemoralis,E2,6.2882,0.9486ZXSdvcxdfvvffðsdefceecefefefeffefeffffefè
2,Bulimus aspera,49,0.9711,0.194
3,Helix fulica,D6,6.2834,-0.8079
4,Achatina fulica,D0,14.0767,-0.6793
5,Lymnaea aspera,33,10.4584,-0.8848
6,Helix nemoralis,BF,10.4784,0.5553
7,Bulimus aspera,CF,8.721,-0.5383
8,Bulimus aspera,8D,10.8638,-0.1533
9,Cepaea ovata,5F,4.0426,0.2024
10,Achatina stagnalis,A5,2.8298,-0.7613
11,Cepaea aspera,42,11.7429,0.3053
12,Achatina fulica,D7,8.1035,-0.675
13,Helix stagnalis,44,13.8234,-0.906
14,Lymnaea fulica,5D,0.9894,0.9193
15,Helix fulica,AB,13.4216,-0.8042
16,Helix aspera,51,13.8698,-0.8583
17,Cepaea fulica,0D,6.2876,0.6863
18,Cepaea stagnalis,12,4.7444,-0.2127
19,Bulimus fulica,3F,8.312,0.9224
20,Achatina asper32e32e2e2e2e2e23e2e2e23e2e23e2,97,0.163,0.9084
21,Helix aspera,39,4.1251,-0.6645
22,Helix stagnalis,FB,13.7887,-0.1569
23,Lymnaea nemoralis,29,10.1217,-0.9048
24,Achatina nemoralis,87,12.7182,-0.1109
25,Helix aspera,D4,14.0067,-0.6195
26,Achatina ovata,FB,8.3018,0.8961
27,Lymnaea fulica,5F,3.7562,0.1525
28,Cepaea ovata,05,11.8233,-0.213
29,Cepaea ovata,07,13.3373,0.5338
30,Helix aspera,34,5.7565,0.7623
31,Achatina fulica,12,5.9084,0.4428
32,Helix ovata,97,1.686,-0.4762
33,Bulimus stagnalis,AA,14.2307,0.7678
34,Helix aspera,3E,10.7561,-0.3914
35,Bulimus nemoralis,39,12.9339,0.2076
36,Cepaea ovata,3D,12.854,0.9082
37,Helix stagnalis,68,7.5901,-0.3327
38,Cepaea ovata,C0,3.0727,-0.7609
39,Bulimus ovata,87,13.1872,0.7326
40,Bulimus stagnalis,11,11.8776,0.1894
41,Cepaea nemoralis,78,3.2455,-0.296
42,Cepaea aspera,6A,0.664,0.2445
43,Bulimus nemoralis,8F,14.399,0.0308
44,Helix fulica,4F,6.4084,-0.6342
45,Bulimus ovata,E7,8.0768,0.9686
46,Cepaea stagnalis,EB,7.6057,-0.2794
47,Helix nemoralis,24,12.3935,0.6429
4
o0-99eiwf89pu087yityurfdhrghftjgyhkulijuyi76u54,l;/.;p[][][]\\\][][p;l.';'
8,Bulimus aspera,A4,12.0279,0.215
49,Bulimus ovata,DF,5.0645,0.0973
50,Cepaea fulica,15,8.2216,-0.7341
51,Helix ovata,F1,5.7597,-0.1992
52,Lymnaea nemoralis,B4,1.093,-0.9563
53,Helix fulica,D6,13.6732,0.9721
54,Bulimus ovata,3E,8.8931,-0.3218
55,Cepaea nemoralis,F0,1.241,-0.9895
56,Bulimus aspera,89,3.8396,-0.1589
57,Helix fulica,1B,12.933,0.5934
58,Achatina stagnalis,72,8.8133,0.8591
59,Lymnaea stagnalis,0C,14.0472,-0.0062
60,Cepaea aspera,90,8.5223,-0.9216
61,Lymnaea nemoralis,35,4.3917,0.0509
62,Helix aspera,2D,7.46,-0.2
63,Helix ovata,43,8.5736,-0.9624
64,Helix stagnalis,DB,8.3655,-0.6911
65,Cepaea nemoralis,9D,1.7554,0.624
66,Helix nemoralis,42,10.9423,-0.8306
67,Achatina stagnalis,50,4.0118,0.8879
68,Achatina stagnalis,05,7.6117,0.6216
69,Helix stagnalis,D6,4.8428,-0.3167
70,Bulimus stagnalis,3F,6.5636,0.8759
71,Lymnaea aspera,50,7.9649,0.7523
72,Helix stagnalis,BA,9.5737,-0.7125
73,Lymnaea fulica,99,11.3008,-0.5919
74,Helix aspera,DF,13.1382,-0.1356
75,Cepaea fulica,A8,12.9079,0.9981
76,Cepaea fulica,5F,9.3513,-0.3796
77,Helix aspera,64,11.3574,-0.5813
78,Bulimus fulica,1A,8.3071,-0.0314
79,Helix aspera,72,9.1671,0.0456
80,Achatina fulica,38,3.3333,-0.9095
81,Achatina stagnalis,16,14.9097,-0.6667
82,Lymnaea ovata,87,11.9465,-0.1335
83,Lymnaea aspera,F5,4.5465,0.6042
84,Helix nemoralis,37,11.4646,-0.856
85,Cepaea stagnalis,8A,13.0164,-0.2488
86,Cepaea fulica,02,1.3786,0.7675
87,Cepaea stagnalis,94,4.4029,-0.3946
88,Cepaea nemoralis,48,6.3133,0.2772
89,Lymnaea ovata,14,3.8729,0.0175
90,Helix ovata,95,6.687,-0.2271
91,Bulimus ovata,D9,3.5361,0.381
92,Achatina ovata,52,2.327,0.0799
93,Lymnaea ovata,A9,5.2415,0.8899
94,Lymnaea aspera,B8,8.5004,-0.5757
95,Bulimus aspera,B2,12.2198,-0.771
96,Cepaea ovata,8E,10.2704,0.7634
97,Cepaea fulica,FE,8.5679,0.7694
98,Cepaea stagnalis,6F,10.4894,-0.8109
99,Achatina ovata,92,0.4195,0.1928
100,Bulimus fulica,3B,7.0974,0.1877
101,Achatina nemoralis,B4,7.1885,-0.9821
102,Cepaea nemoralis,27,8.9012,-0.7918
103,Lymnaea fulica,F5,12.4431,0.3399
104,Helix stagnalis,7D,6.1671,-0.1359
105,Cepaea aspera,DF,9.4216,-0.9133
106,Helix nemoralis,D8,8.6805,0.1009
107,Lymnaea ovata,68,3.423,-0.2975
108,Bulimus nemoralis,69,12.156,-0.0187
109,Cepaea fulica,9E,10.5269,-0.9768
110,Cepaea stagnalis,79,10.2657,-0.7168
111,Cepaea aspera,9E,2.3232,0.2746
112,Cepaea aspera,E6,14.2035,0.2036
113,Cepaea aspera,8D,1.5045,0.3339
114,Helix stagnalis,5E,2.749,0.3582
115,Achatina aspera,9/././??>?>LOIUKL:?lkikuyutr4321F,12.9228,-0.0251
116,Bulimus aspera,FA,14.8413,0.1948
117,Cepaea ovata,54,9.8534,-0.0248
118,Lymnaea nemoralis,9F,2.1864,-0.4669
119,Lymnaea nemoralis,D9,7.1422,0.9587
120,Bulimus fulica,AD,12.0767,0.0458
121,Helix stagnalis,4F,6.5062,-0.3686
122,Lymnaea aspera,05,8.7055,0.4834
123,Lymnaea nemoralis,98,13.9195,0.2897
124,Helix stagnalis,A6,5.5019,0.4898
125,Lymnaea stagnalis,40,10.8848,-0.0316
126,Bulimus ovata,4F,4.4955,-0.2864
127,Bulimus stagnalis,0F,14.2009,-0.5
128,Cepaea stagnalis,5A,3.9664,-0.8219
129,Lymnaea fulica,85,6.7114,0.6655
130,Cepaea stagnalis,3F,8.7671,0.4101
131,Achatina fulica,E7,8.4721,-0.1219
132,Lymnaea nemoralis,22,13.8576,0.0422
133,Achatina nemoralis,B5,5.0305,-0.2708
134,Bulimus fulica,65,2.4308,0.1475
135,Achatina nemoralis,4A,14.8451,0.6359
136,Lymnaea stagnalis,E7,9.0124,0.2332
137,Bulimus ovata,E6,9.6428,-0.1003
138,Bulimus nemoralis,2E,0.9043,0.7492
139,Helix nemoralis,B0,5.8192,-0.2946
140,Helix stagnalis,4D,10.7827,-0.9046
141,Bulimus ovata,10,9.9751,-0.8176
142,Achatina nemoralis,66,12.6624,-0.7203
143,Achatina ovata,DB,10.5211,0.7658
144,Achatina aspera,0C,13.2023,-0.3312
145,Bulimus fulica,F8,6.4008,-0.6353
146,Bulimus nemoralis,94,10.814,0.927
147,Cepaea nemoralis,86,14.4216,-0.3255
148,Achatina fulica,10,2.2513,0.4587
149,Achatina fulica,FF,8.8623,0.5446
150,Cepaea fulica,A7,12.4749,-0.8279
151,Bulimus stagnalis,EE,12.3617,0.0824
152,Bulimus fulica,D7,12.1054,-0.8134
153,Cepaea fulica,4B,5.2133,0.2787
154,Cepaea ovata,61,11.4148,0.3551
155,Bulimus stagnalis,28,4.123,0.8175
156,Achatina stagnalis,03,3.4849,0.486
157,Helix aspera,18,2.3582,0.5542
158,Achatina nemoralis,FF,2.9507,0.3946
159,Helix ovata,8D,7.2181,0.8398
160,Helix aspera,20,5.031,0.8604
161,Achatina fulica,0C,7.4716,-0.4909
162,Bulimus fulica,42,0.2101,0.3132
163,Bulimus stagnalis,39,7.961,-0.7415
164,Helix nemoralis,79,2.8489,0.5926
165,Achatina fulica,64,11.8997,0.3925
166,Cepaea nemoralis,68,11.9794,0.7573
167,Lymnaea fulica,DE,5.3871,-0.2448
168,Bulimus aspera,CB,14.4526,0.7365
169,Bulimus nemoralis,08,3.115,-0.3152
170,Lymnaea fulica,4E,1.6883,-0.4983
171,Lymnaea stagnalis,01,0.22,0.4079
172,Achatina aspera,84,8.3736,0.0181
173,Helix fulica,ED,3.2338,-0.5201
174,Bulimus stagnalis,2F,13.5093,0.3495
175,Bulimus nemoralis,85,0.6849,-0.2215
176,Lymnaea stagnalis,E7,2.1873,-0.9331
177,Cepaea aspera,11,11.5691,0.6041
178,Lymnaea nemoralis,48,1.3336,-0.8888
179,Helix aspera,4A,8.1493,0.1602
180,Bulimus fulica,3B,12.4168,-0.4188zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzZSZZzZZzzZzzZzZZzzZzZzZzzzzzzzzzzzzzZzzzzzZZZzxzzxzxzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzxzxZZzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
181,Achatina nemoralis,7F,2.7883,0.6946
182,Bulimus stagnalis,A8,0.2079,0.2806
183,Helix fulica,55,6.3194,0.1794
184,Helix fulica,B5,8.3852,-0.9062
185,Achatina nemoralis,22,4.076,0.4724
186,Helix stag bc bv bv bv n bvbvnnalis,0D,9.5371,0.7949
187,Achatina aspera,1F,1.8512,-0.9022
188,Bulimus fulica,38,7.5479,-0.8457
189,Helix fulica,7F,9.423,0.9289
190,Achatina nemoralis,8B,6.5067,-0.6267
191,Lymnaea ovata,5C,7.903,0.7422
192,Achatina stagnalis,CC,11.1964,-0.8221
193, nm c nm cx mn cx mn xc nm xc mnxcBulimus stagnalis,33,3.2976,-0.6039
194,Achatina ovata,92,14.9523,-0.6075
195,Bulimus nemoralis,48,13.0748,-0.1236
196,Bulimus ovata,8A,11.juidjerjduiccjdfnmrejduijerdujernmdjujernjducxdjenrdjucdjerjdui2893,-0.5248
197,Achatina ovata,B2,1.7122,0.5711
198,Cepaea aspera,BA,11.9634,-0.2807
199,Lymnaea stagnalis,6B,6.9334,-0.9262
200,Achatina stagnalis,A3,1.5562,-0.9045
